date,t1,t2,tm_1_score,tm_2_score,tm_1_win
2024-01-28 00:00:00,FAZE,ULTRA,1,4,False
2024-02-17 00:00:00,FAZE,HERETICS,3,1,True
2024-03-01 00:00:00,RØKKR,FAZE,0,3,False
2024-02-25 00:00:00,FAZE,SUBLINERS,2,3,False
2024-03-03 00:00:00,FAZE,ULTRA,3,0,True
2024-03-08 00:00:00,FAZE,THIEVES,3,0,True
2024-03-09 00:00:00,FAZE,BREACH,3,0,True
2023-06-17 00:00:00,BREACH,FAZE,1,3,False
2023-06-17 00:00:00,FAZE,SURGE,3,1,True
2023-06-17 00:00:00,SUBLINERS,FAZE,3,1,True
2023-12-08 00:00:00,FAZE,BREACH,3,2,True
2023-12-10 00:00:00,THIEVES,FAZE,0,3,False
2023-12-16 00:00:00,FAZE,SURGE,3,1,True
2024-01-12 00:00:00,GUERRILLAS,FAZE,0,3,False
2024-01-21 00:00:00,FAZE,RAVENS,3,2,True
2023-05-07 00:00:00,FAZE,TEXAS,0,3,False
2023-05-13 00:00:00,RAVENS,FAZE,1,3,False
2023-05-20 00:00:00,FAZE,BREACH,3,1,True
2023-05-27 00:00:00,ULTRA,FAZE,1,3,False
2023-05-28 00:00:00,RØKKR,FAZE,0,3,False
2023-05-28 00:00:00,FAZE,SUBLINERS,3,4,False
2023-06-15 00:00:00,SURGE,FAZE,1,3,False
2023-03-12 00:00:00,TEXAS,FAZE,3,1,True
2023-03-31 00:00:00,FAZE,SUBLINERS,2,3,False
2023-04-02 00:00:00,HERETICS,FAZE,2,3,False
2023-04-16 00:00:00,SURGE,FAZE,3,0,True
2023-04-20 00:00:00,FAZE,SURGE,3,1,True
2023-04-22 00:00:00,FAZE,THIEVES,1,3,False
2023-04-22 00:00:00,ULTRA,FAZE,2,3,False
2023-04-23 00:00:00,SUBLINERS,FAZE,2,3,False
2023-04-23 00:00:00,FAZE,TEXAS,0,3,False
2023-02-05 00:00:00,FAZE,RØKKR,3,2,True
2023-02-05 00:00:00,THIEVES,FAZE,2,5,False
2023-02-18 00:00:00,FAZE,HERETICS,3,0,True
2023-02-19 00:00:00,THIEVES,FAZE,3,1,True
2023-02-24 00:00:00,FAZE,RAVENS,3,0,True
2023-03-05 00:00:00,FAZE,TEXAS,1,3,False
2023-03-09 00:00:00,THIEVES,FAZE,0,3,False
2023-03-11 00:00:00,FAZE,SURGE,3,2,True
2022-12-18 00:00:00,FAZE,SURGE,2,3,False
2022-12-18 00:00:00,SUBLINERS,FAZE,3,1,True
2023-01-14 00:00:00,FAZE,SURGE,3,0,True
2023-01-21 00:00:00,FAZE,RØKKR,0,3,False
2023-01-22 00:00:00,SUBLINERS,FAZE,2,3,False
2023-01-27 00:00:00,FAZE,GUERRILLAS,3,2,True
2023-01-29 00:00:00,TEXAS,FAZE,3,2,True
2023-02-02 00:00:00,FAZE,BREACH,3,2,True
2022-08-05 00:00:00,FAZE,SURGE,3,2,True
2022-08-06 00:00:00,FAZE,THIEVES,1,3,False
2022-08-06 00:00:00,SURGE,FAZE,1,3,False
2022-08-07 00:00:00,THIEVES,FAZE,5,2,True
2022-12-02 00:00:00,BREACH,FAZE,3,1,True
2022-12-04 00:00:00,THIEVES,FAZE,2,3,False
2022-12-09 00:00:00,ULTRA,FAZE,3,2,True
2022-12-15 00:00:00,SURGE,FAZE,0,3,False
2022-06-05 00:00:00,SURGE,FAZE,3,2,True
2022-06-05 00:00:00,FAZE,SURGE,3,5,False
2022-06-05 00:00:00,FAZE,ULTRA,3,2,True
2022-07-14 00:00:00,FAZE,THIEVES,1,3,False
2022-07-16 00:00:00,FAZE,GUERRILLAS,3,0,True
2022-07-17 00:00:00,FAZE,HERETICS,3,1,True
2022-07-17 00:00:00,FAZE,TEXAS,3,1,True
2022-07-17 00:00:00,THIEVES,FAZE,3,1,True
2022-04-02 00:00:00,FAZE,SURGE,3,2,True
2022-04-04 00:00:00,FAZE,GUERRILLAS,2,5,False
2022-05-13 00:00:00,SUBLINERS,FAZE,1,3,False
2022-05-21 00:00:00,BREACH,FAZE,0,3,False
2022-05-22 00:00:00,TEXAS,FAZE,3,1,True
2022-05-27 00:00:00,RØKKR,FAZE,3,0,True
2022-05-28 00:00:00,FAZE,GUERRILLAS,3,1,True
2022-06-02 00:00:00,ULTRA,FAZE,1,3,False
2022-02-18 00:00:00,FAZE,RØKKR,3,0,True
2022-02-20 00:00:00,SUBLINERS,FAZE,1,3,False
2022-03-13 00:00:00,SURGE,FAZE,3,2,True
2022-03-19 00:00:00,RAVENS,FAZE,1,3,False
2022-03-20 00:00:00,ULTRA,FAZE,2,3,False
2022-03-25 00:00:00,FAZE,HERETICS,3,1,True
2022-03-27 00:00:00,TEXAS,FAZE,3,0,True
2021-07-18 00:00:00,FAZE,TEXAS,2,3,False
2021-07-25 00:00:00,FAZE,SUBLINERS,3,0,True
2021-07-31 00:00:00,RØKKR,FAZE,3,1,True
2021-08-01 00:00:00,FAZE,SURGE,2,3,False
2021-08-21 00:00:00,FAZE,SUBLINERS,3,0,True
2021-08-23 00:00:00,FAZE,ULTRA,5,3,True
2022-01-22 00:00:00,FAZE,SURGE,1,3,False
2021-05-30 00:00:00,TEXAS,FAZE,0,3,False
2021-06-04 00:00:00,SURGE,FAZE,0,3,False
2021-06-07 00:00:00,THIEVES,FAZE,0,3,False
2021-06-13 00:00:00,RØKKR,FAZE,1,3,False
2021-06-18 00:00:00,RØKKR,FAZE,0,3,False
2021-04-25 00:00:00,FAZE,SUBLINERS,2,3,False
2021-07-08 00:00:00,RAVENS,FAZE,0,3,False
2021-04-29 00:00:00,FAZE,THIEVES,3,2,True
2021-05-01 00:00:00,FAZE,RAVENS,3,2,True
2021-06-19 00:00:00,ULTRA,FAZE,1,3,False
2021-05-07 00:00:00,SURGE,FAZE,1,3,False
2021-05-09 00:00:00,TEXAS,FAZE,0,3,False
2021-05-16 00:00:00,SUBLINERS,FAZE,3,2,True
2023-03-11 00:00:00,BREACH,ULTRA,2,3,False
2023-05-12 00:00:00,HERETICS,BREACH,0,3,False
2023-12-09 00:00:00,SURGE,BREACH,3,1,True
2024-03-08 00:00:00,BREACH,TEXAS,2,3,False
2024-03-17 00:00:00,SURGE,BREACH,0,3,False
2020-02-23 00:00:00,HERETICS,RAVENS,3,2,True
2020-05-24 00:00:00,RAVENS,THIEVES,3,2,True
2020-08-23 00:00:00,SUBLINERS,RAVENS,2,3,False
2021-03-27 00:00:00,SUBLINERS,RAVENS,3,1,True
2021-05-14 00:00:00,RØKKR,RAVENS,0,3,False
2021-07-22 00:00:00,TEXAS,RAVENS,3,0,True
2022-03-11 00:00:00,RAVENS,SUBLINERS,3,1,True
2022-03-12 00:00:00,THIEVES,RAVENS,0,3,False
2022-12-04 00:00:00,GUERRILLAS,RAVENS,2,3,False
2023-02-26 00:00:00,RAVENS,GUERRILLAS,3,2,True
2023-05-06 00:00:00,RØKKR,RAVENS,3,0,True
2023-05-12 00:00:00,GUERRILLAS,RAVENS,3,1,True
2023-12-17 00:00:00,RAVENS,TEXAS,0,3,False
2023-05-19 00:00:00,HERETICS,RAVENS,3,0,True
2024-01-14 00:00:00,RØKKR,RAVENS,3,0,True
2024-01-21 00:00:00,RAVENS,THIEVES,2,3,False
2024-02-16 00:00:00,RAVENS,SUBLINERS,2,3,False
2024-03-02 00:00:00,TEXAS,RAVENS,3,1,True
2024-02-25 00:00:00,SURGE,RAVENS,1,3,False
2024-03-08 00:00:00,RAVENS,GUERRILLAS,3,1,True
2024-03-10 00:00:00,RAVENS,HERETICS,1,3,False
2023-05-21 00:00:00,RAVENS,THIEVES,0,3,False
2023-05-26 00:00:00,RAVENS,THIEVES,0,3,False
2023-12-09 00:00:00,RAVENS,HERETICS,0,3,False
2023-12-16 00:00:00,ULTRA,RAVENS,3,0,True
2023-03-03 00:00:00,RAVENS,SURGE,1,3,False
2023-03-04 00:00:00,ULTRA,RAVENS,2,3,False
2023-03-10 00:00:00,RAVENS,TEXAS,2,3,False
2023-03-31 00:00:00,THIEVES,RAVENS,3,0,True
2023-04-02 00:00:00,RAVENS,TEXAS,0,3,False
2023-04-21 00:00:00,RAVENS,RØKKR,0,3,False
2022-12-09 00:00:00,SURGE,RAVENS,3,1,True
2022-12-10 00:00:00,TEXAS,RAVENS,3,2,True
2022-12-15 00:00:00,SURGE,RAVENS,3,0,True
2023-01-13 00:00:00,ULTRA,RAVENS,3,0,True
2023-01-21 00:00:00,THIEVES,RAVENS,3,0,True
2023-01-14 00:00:00,RØKKR,RAVENS,3,2,True
2023-01-27 00:00:00,HERETICS,RAVENS,3,2,True
2023-02-03 00:00:00,RAVENS,SUBLINERS,1,3,False
2022-05-28 00:00:00,RAVENS,ULTRA,1,3,False
2022-05-29 00:00:00,SURGE,RAVENS,3,0,True
2022-06-03 00:00:00,SUBLINERS,RAVENS,1,3,False
2022-06-04 00:00:00,TEXAS,RAVENS,3,0,True
2022-07-14 00:00:00,ULTRA,RAVENS,3,2,True
2022-07-15 00:00:00,GUERRILLAS,RAVENS,3,2,True
2022-08-04 00:00:00,RAVENS,SURGE,2,3,False
2022-08-05 00:00:00,RAVENS,SUBLINERS,2,3,False
2022-12-03 00:00:00,SUBLINERS,RAVENS,0,3,False
2022-03-31 00:00:00,HERETICS,RAVENS,3,0,True
2022-04-02 00:00:00,RAVENS,GUERRILLAS,0,3,False
2022-05-13 00:00:00,RAVENS,THIEVES,0,3,False
2021-07-31 00:00:00,RAVENS,SURGE,0,3,False
2022-02-04 00:00:00,HERETICS,RAVENS,0,3,False
2022-01-21 00:00:00,SURGE,RAVENS,3,0,True
2022-02-05 00:00:00,TEXAS,RAVENS,2,3,False
2022-02-12 00:00:00,RAVENS,RØKKR,3,1,True
2022-02-13 00:00:00,RAVENS,GUERRILLAS,1,3,False
2022-02-20 00:00:00,SURGE,RAVENS,1,3,False
2022-03-03 00:00:00,GUERRILLAS,RAVENS,2,3,False
2021-05-15 00:00:00,RAVENS,THIEVES,0,3,False
2021-05-30 00:00:00,RAVENS,HERETICS,0,3,False
2021-06-06 00:00:00,ULTRA,RAVENS,3,0,True
2021-06-11 00:00:00,SUBLINERS,RAVENS,3,0,True
2021-06-13 00:00:00,GUERRILLAS,RAVENS,1,3,False
2021-07-11 00:00:00,THIEVES,RAVENS,3,1,True
2021-06-17 00:00:00,RAVENS,SURGE,1,3,False
2021-07-17 00:00:00,SUBLINERS,RAVENS,2,3,False
2021-04-08 00:00:00,THIEVES,RAVENS,3,2,True
2021-04-23 00:00:00,TEXAS,RAVENS,3,1,True
2021-04-25 00:00:00,THIEVES,RAVENS,3,1,True
2021-04-29 00:00:00,SUBLINERS,RAVENS,2,3,False
2021-05-09 00:00:00,RAVENS,SURGE,3,1,True
2020-08-29 00:00:00,RAVENS,TEXAS,1,3,False
2021-02-14 00:00:00,SURGE,RAVENS,3,2,True
2021-02-23 00:00:00,SUBLINERS,RAVENS,3,0,True
2021-02-26 00:00:00,RAVENS,THIEVES,1,3,False
2021-02-27 00:00:00,RAVENS,RØKKR,0,3,False
2021-03-21 00:00:00,GUERRILLAS,RAVENS,0,3,False
2021-03-26 00:00:00,THIEVES,RAVENS,1,3,False
2020-07-10 00:00:00,RAVENS,TEXAS,1,3,False
2020-07-11 00:00:00,RAVENS,RØKKR,3,2,True
2020-07-11 00:00:00,RAVENS,SUBLINERS,1,3,False
2020-07-17 00:00:00,RAVENS,SURGE,3,1,True
2020-07-18 00:00:00,RAVENS,HERETICS,3,2,True
2020-04-25 00:00:00,RAVENS,TEXAS,1,3,False
2020-05-08 00:00:00,THIEVES,RAVENS,2,3,False
2020-05-09 00:00:00,RAVENS,THIEVES,0,3,False
2020-05-23 00:00:00,RAVENS,SUBLINERS,3,0,True
2024-03-21 00:00:00,BREACH,SUBLINERS,1,3,False
2020-05-24 00:00:00,RAVENS,TEXAS,1,3,False
2024-03-22 00:00:00,RØKKR,BREACH,3,2,True
2024-04-13 00:00:00,BREACH,HERETICS,2,3,False
2024-04-21 00:00:00,BREACH,RØKKR,2,3,False
2024-04-27 00:00:00,BREACH,GUERRILLAS,2,3,False
2024-05-03 00:00:00,TEXAS,BREACH,3,2,True
2024-05-05 00:00:00,BREACH,THIEVES,1,3,False
2023-12-15 00:00:00,THIEVES,BREACH,3,0,True
2023-12-17 00:00:00,BREACH,ULTRA,3,0,True
2024-01-13 00:00:00,BREACH,GUERRILLAS,1,3,False
2024-01-21 00:00:00,SUBLINERS,BREACH,3,2,True
2024-01-14 00:00:00,BREACH,HERETICS,3,1,True
2024-02-25 00:00:00,RØKKR,BREACH,2,3,False
2024-02-17 00:00:00,BREACH,RAVENS,3,1,True
2024-02-23 00:00:00,SUBLINERS,BREACH,3,0,True
2023-05-21 00:00:00,BREACH,SUBLINERS,3,1,True
2023-05-14 00:00:00,SURGE,BREACH,3,1,True
2023-05-25 00:00:00,RØKKR,BREACH,3,2,True
2023-05-26 00:00:00,BREACH,RAVENS,1,3,False
2023-06-15 00:00:00,BREACH,TEXAS,1,3,False
2023-06-16 00:00:00,RØKKR,BREACH,1,3,False
2023-03-12 00:00:00,BREACH,TEXAS,1,3,False
2023-04-01 00:00:00,BREACH,ULTRA,3,2,True
2023-04-16 00:00:00,SUBLINERS,BREACH,3,0,True
2023-04-20 00:00:00,BREACH,TEXAS,1,3,False
2023-04-07 00:00:00,BREACH,RAVENS,3,1,True
2023-04-21 00:00:00,ULTRA,BREACH,3,1,True
2023-05-06 00:00:00,RØKKR,BREACH,1,3,False
2024-03-22 00:00:00,RAVENS,HERETICS,3,0,True
2020-05-24 00:00:00,TEXAS,SUBLINERS,3,1,True
2020-07-12 00:00:00,SUBLINERS,TEXAS,3,0,True
2021-02-28 00:00:00,SURGE,SUBLINERS,1,3,False
2021-04-09 00:00:00,THIEVES,SUBLINERS,3,0,True
2021-06-05 00:00:00,HERETICS,SUBLINERS,2,3,False
2021-07-30 00:00:00,SUBLINERS,GUERRILLAS,3,2,True
2022-02-05 00:00:00,SUBLINERS,GUERRILLAS,1,3,False
2022-04-01 00:00:00,SUBLINERS,THIEVES,2,3,False
2022-07-17 00:00:00,SUBLINERS,THIEVES,3,1,True
2022-12-15 00:00:00,SUBLINERS,GUERRILLAS,3,0,True
2023-01-28 00:00:00,SURGE,SUBLINERS,3,1,True
2023-03-05 00:00:00,SURGE,SUBLINERS,3,0,True
2023-05-07 00:00:00,SUBLINERS,THIEVES,3,2,True
2023-06-15 00:00:00,RØKKR,SUBLINERS,2,3,False
2024-01-14 00:00:00,SUBLINERS,THIEVES,3,1,True
2024-01-19 00:00:00,SUBLINERS,ULTRA,0,3,False
2024-02-17 00:00:00,SUBLINERS,SURGE,3,0,True
2024-03-24 00:00:00,ULTRA,SUBLINERS,0,3,False
2024-04-13 00:00:00,SUBLINERS,RØKKR,3,1,True
2024-04-20 00:00:00,SURGE,SUBLINERS,3,1,True
2024-05-03 00:00:00,HERETICS,SUBLINERS,0,3,False
2024-03-03 00:00:00,HERETICS,SUBLINERS,0,3,False
2024-03-09 00:00:00,GUERRILLAS,SUBLINERS,0,3,False
2024-03-17 00:00:00,SUBLINERS,TEXAS,2,3,False
2023-06-16 00:00:00,TEXAS,SUBLINERS,1,3,False
2023-06-17 00:00:00,ULTRA,SUBLINERS,3,0,True
2023-06-18 00:00:00,SUBLINERS,ULTRA,5,0,True
2023-12-08 00:00:00,TEXAS,SUBLINERS,2,3,False
2023-12-10 00:00:00,SUBLINERS,GUERRILLAS,3,2,True
2024-01-12 00:00:00,RØKKR,SUBLINERS,1,3,False
2023-05-13 00:00:00,SUBLINERS,GUERRILLAS,3,0,True
2023-05-19 00:00:00,SURGE,SUBLINERS,1,3,False
2023-05-25 00:00:00,SUBLINERS,ULTRA,2,3,False
2023-05-26 00:00:00,GUERRILLAS,SUBLINERS,0,3,False
2023-05-27 00:00:00,HERETICS,SUBLINERS,0,3,False
2023-05-28 00:00:00,ULTRA,SUBLINERS,2,3,False
2023-05-28 00:00:00,SUBLINERS,RØKKR,3,0,True
2023-03-09 00:00:00,SUBLINERS,ULTRA,1,3,False
2023-03-10 00:00:00,HERETICS,SUBLINERS,3,1,True
2023-04-22 00:00:00,SUBLINERS,TEXAS,0,3,False
2023-04-23 00:00:00,RØKKR,SUBLINERS,1,3,False
2023-02-02 00:00:00,RØKKR,SUBLINERS,3,2,True
2023-02-03 00:00:00,SUBLINERS,THIEVES,0,3,False
2023-02-19 00:00:00,HERETICS,SUBLINERS,0,3,False
2023-02-17 00:00:00,RØKKR,SUBLINERS,2,3,False
2023-02-25 00:00:00,SUBLINERS,ULTRA,0,3,False
2023-03-04 00:00:00,SUBLINERS,TEXAS,3,0,True
2022-12-15 00:00:00,SUBLINERS,RØKKR,3,0,True
2022-12-16 00:00:00,HERETICS,SUBLINERS,1,3,False
2022-12-17 00:00:00,SURGE,SUBLINERS,3,1,True
2022-12-18 00:00:00,SUBLINERS,ULTRA,3,2,True
2022-12-18 00:00:00,SUBLINERS,SURGE,4,1,True
2023-01-14 00:00:00,THIEVES,SUBLINERS,1,3,False
2023-01-20 00:00:00,SUBLINERS,HERETICS,3,1,True
2022-07-17 00:00:00,SUBLINERS,HERETICS,3,0,True
2022-08-06 00:00:00,SUBLINERS,TEXAS,0,3,False
2022-07-17 00:00:00,THIEVES,SUBLINERS,5,3,True
2022-12-04 00:00:00,ULTRA,SUBLINERS,3,1,True
2022-12-09 00:00:00,SUBLINERS,GUERRILLAS,3,0,True
2022-05-28 00:00:00,SUBLINERS,TEXAS,3,1,True
2022-05-22 00:00:00,SUBLINERS,ULTRA,2,3,False
2022-06-02 00:00:00,SURGE,SUBLINERS,3,2,True
2022-02-11 00:00:00,SUBLINERS,THIEVES,1,3,False
2022-03-13 00:00:00,HERETICS,SUBLINERS,3,0,True
2022-03-26 00:00:00,SUBLINERS,RØKKR,3,1,True
2022-03-27 00:00:00,SUBLINERS,ULTRA,3,1,True
2021-07-31 00:00:00,HERETICS,SUBLINERS,2,3,False
2022-07-14 00:00:00,SUBLINERS,RØKKR,3,2,True
2021-08-01 00:00:00,THIEVES,SUBLINERS,3,1,True
2021-08-21 00:00:00,TEXAS,SUBLINERS,2,3,False
2021-08-21 00:00:00,SUBLINERS,RØKKR,1,3,False
2022-01-22 00:00:00,RØKKR,SUBLINERS,0,3,False
2022-01-23 00:00:00,SUBLINERS,SURGE,1,3,False
2022-02-04 00:00:00,SURGE,SUBLINERS,3,0,True
2021-06-17 00:00:00,SUBLINERS,RØKKR,0,3,False
2021-06-14 00:00:00,ULTRA,SUBLINERS,3,0,True
